Food,Calories,Calories from Fat,Tot. Fat,%DV,Tot. Carb,%DV,Sat. Fat,%DV,Dietary Fiber,%DV,Trans Fat,%DV,Sugars,%DV,Cholesterol,%DV,Protein,%DV,Sodium,%DV,Allergens
Avocado Toast ,494,244,Total Fat 27.1g,71,Tot. Carb. 51.5g,,Sat. Fat 6.1g,31%,Dietary Fiber 6.1g,20,Trans Fat 0g,,Sugars 7.3g,6,Cholesterol 6.6mg,,Protein 17.9g,,Sodium 810.1mg,35,"Milk, Wheat, Gluten"
Ham Bobcat Sandwich ,465,205,Total Fat 22.7g,60,Tot. Carb. 32.9g,,Sat. Fat 11.1g,55%,Dietary Fiber 2.7g,9,Trans Fat 0g,,Sugars 5.2g,4,Cholesterol 238.9mg,,Protein 28.1g,,Sodium 1288.6mg,56,"Milk, Eggs, Wheat, Soybeans, Gluten"
Beef Mushroom Blended ,108,69,Total Fat 7.6g,20,Tot. Carb. 1.3g,,Sat. Fat 3.2g,16%,Dietary Fiber 0g,0,Trans Fat 0.3g,,Sugars 0.6g,0,Cholesterol 28.5mg,,Protein 7.6g,,Sodium 28.5mg,1,
Chipotle Black Bean ,150,54,Total Fat 6g,16,Tot. Carb. 18g,,Sat. Fat 0g,0%,Dietary Fiber 0g,0,Trans Fat 0g,,Sugars 2g,2,Cholesterol 0mg,,Protein 5g,,Sodium 380mg,17,Soybeans
Marinated Chicken Breast ,221,68,Total Fat 7.5g,20,Tot. Carb. 0.3g,,Sat. Fat 1.4g,7%,Dietary Fiber 0.1g,0,Trans Fat 0g,,Sugars 0g,0,Cholesterol 96.6mg,,Protein 35.3g,,Sodium 190.4mg,8,
Turkey Burger ,175,79,Total Fat 8.8g,23,Tot. Carb. 1.5g,,Sat. Fat 2.2g,11%,Dietary Fiber 0g,0,Trans Fat 0g,,Sugars 0g,0,Cholesterol 95mg,,Protein 21.9g,,Sodium 467.8mg,20,
American Cheese ,52,40,Total Fat 4.4g,12,Tot. Carb. 0g,,Sat. Fat 2.6g,13%,Dietary Fiber 0g,0,Trans Fat ,,Sugars 0g,0,Cholesterol 14.7mg,,Protein 2.9g,,Sodium 228.4mg,10,"Milk, Soybeans"
Avocado ,47,39,Total Fat 4.4g,11,Tot. Carb. 2.4g,,Sat. Fat 0.6g,3%,Dietary Fiber 1.9g,6,Trans Fat 0g,,Sugars 0.1g,0,Cholesterol 0mg,,Protein 0.6g,,Sodium 2.3mg,0,
Bacon (1) ,134,95,Total Fat 10.6g,28,Tot. Carb. 0.3g,,Sat. Fat 3.5g,17%,Dietary Fiber 0g,0,Trans Fat 0g,,Sugars 0g,0,Cholesterol 26.1mg,,Protein 8.7g,,Sodium 535.6mg,23,
Cheddar Cheese ,90,68,Total Fat 7.5g,20,Tot. Carb. 0g,,Sat. Fat 4.5g,23%,Dietary Fiber 0g,0,Trans Fat 0g,,Sugars 0g,0,Cholesterol 22.5mg,,Protein 4.5g,,Sodium 135mg,6,Milk
Fried Egg ,70,47,Total Fat 5.2g,14,Tot. Carb. 0.5g,,Sat. Fat 1.4g,7%,Dietary Fiber 0g,0,Trans Fat 0g,,Sugars 0.5g,0,Cholesterol 194.1mg,,Protein 6g,,Sodium 135.2mg,6,Eggs
Marinated Chicken Breast ,221,68,Total Fat 7.5g,20,Tot. Carb. 0.3g,,Sat. Fat 1.4g,7%,Dietary Fiber 0.1g,0,Trans Fat 0g,,Sugars 0g,0,Cholesterol 96.6mg,,Protein 35.3g,,Sodium 190.4mg,8,
Pepper Jack Cheese ,84,62,Total Fat 6.8g,18,Tot. Carb. 0.8g,,Sat. Fat 3.8g,19%,Dietary Fiber 0g,0,Trans Fat ,,Sugars 0g,0,Cholesterol 22.8mg,,Protein 4.6g,,Sodium 129.2mg,6,Milk
